MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,Previous_qualification_grade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Status
0.0,0.3076923076923077,0.0,0.6,1.0,0.0,0.9649122807017543,0.0,0.0,0.10526315789473684,0.10714285714285714,0.08571428571428572,0.7296466973886331,1.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352944,0.0,0.0,0.6000000000000001,0.23076923076923078,0.7142857142857142,0.5714285714285716,0.0,0.0,0.5,0.23076923076923078,0.7142857142857142,0.511627906976744,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,1.0
0.0,0.46153846153846156,0.5,0.8666666666666667,1.0,0.0,0.29824561403508776,0.0,0.7619047619047619,0.7368421052631579,0.17857142857142855,0.08571428571428572,0.37788018433179715,1.0,0.0,0.0,1.0,0.0,0.0,0.17647058823529416,0.0,0.0,0.6000000000000001,0.38461538461538464,0.7142857142857142,0.48979591836734704,0.0,0.0,0.5,0.5384615384615385,0.5714285714285714,0.33488372093023244,0.0,0.2093023255813954,0.0,0.12417437252311753,1.0
0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6491228070175437,0.0,0.47619047619047616,0.7894736842105263,0.25,0.2857142857142857,0.513056835637481,1.0,0.0,0.0,1.0,0.0,1.0,0.05882352941176472,0.0,0.0,0.8,0.4615384615384615,0.8571428571428572,0.47142857142857153,0.0,0.0,0.8333333333333333,0.38461538461538464,1.0,0.6062790697674418,0.0,0.9186046511627907,0.7999999999999999,0.0,1.0
0.0,0.0,1.0,0.5333333333333333,1.0,0.0,0.5614035087719298,0.7333333333333333,0.0,0.0,0.3214285714285714,0.2571428571428571,0.5268817204301077,0.0,0.0,0.0,1.0,0.0,1.0,0.23529411764705888,1.0,0.0,0.6000000000000001,0.38461538461538464,0.7142857142857142,0.5535714285714286,0.0,0.0,0.5,0.30769230769230776,0.7142857142857142,0.5780730897009965,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,1.0
0.0,0.0,0.0,0.5333333333333333,1.0,0.0,0.5789473684210527,0.0,0.0,0.42105263157894735,0.14285714285714285,0.19999999999999998,0.4301075268817205,1.0,0.0,1.0,0.0,0.0,0.0,0.05882352941176472,0.0,0.0,0.6000000000000001,0.4615384615384615,0.5714285714285714,0.20000000000000018,0.0,0.0,0.5,0.8461538461538463,0.14285714285714285,0.48837209302325557,0.0,0.15116279069767458,0.4888888888888888,1.0,0.0
0.0,0.0,0.0,0.8,1.0,0.0,0.5964912280701755,0.0,0.7619047619047619,0.42105263157894735,0.17857142857142855,0.19999999999999998,0.5468509984639016,1.0,0.0,0.0,1.0,0.0,0.0,0.05882352941176472,0.0,0.0,0.6000000000000001,0.23076923076923078,0.7142857142857142,0.3333333333333335,0.0,0.0,0.5,0.30769230769230776,0.5714285714285714,0.5860465116279066,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,1.0
0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.5438596491228069,0.0,0.47619047619047616,0.7894736842105263,0.3214285714285714,0.2571428571428571,0.3732718894009217,1.0,0.0,0.0,1.0,0.0,1.0,0.05882352941176472,0.0,0.0,1.0,0.38461538461538464,0.8571428571428572,0.4591836734693877,0.0,0.0,0.8333333333333333,0.38461538461538464,0.8571428571428572,0.44850498338870404,0.0,0.5930232558139535,1.0,0.3117569352708058,1.0
0.0,1.0,0.0,0.6,1.0,0.9166666666666666,0.08771929824561386,0.0,0.0,0.0,0.14285714285714285,0.19999999999999998,0.25806451612903225,1.0,0.0,0.0,1.0,0.0,1.0,0.23529411764705888,0.0,0.0,0.6000000000000001,0.30769230769230776,0.7142857142857142,0.08163265306122458,0.0,0.0,0.5,0.38461538461538464,0.5714285714285714,0.13953488372093004,0.0,0.15116279069767458,0.4888888888888888,1.0,1.0
0.0,0.0,0.0,0.26666666666666666,1.0,0.0,0.7719298245614032,0.0,0.7619047619047619,0.7368421052631579,0.17857142857142855,0.14285714285714285,0.6466973886328724,1.0,0.0,0.0,1.0,0.0,1.0,0.05882352941176472,0.0,0.0,0.3999999999999999,0.30769230769230776,0.42857142857142855,0.4642857142857144,0.0,0.0,0.33333333333333326,0.15384615384615385,0.5714285714285714,0.2790697674418603,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,1.0
0.0,0.5384615384615385,0.0,0.5333333333333333,1.0,0.0,0.5614035087719298,0.0,0.47619047619047616,0.7894736842105263,0.17857142857142855,0.22857142857142856,0.6513056835637483,1.0,0.0,0.0,1.0,0.0,0.0,0.05882352941176472,0.0,0.0,0.6000000000000001,0.5384615384615385,0.0,0.2857142857142858,0.0,0.0,0.5,0.8461538461538463,0.14285714285714285,0.13953488372093004,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0.5
